# lists which metier to distribute catches on based on logbooks. these are specific to ICES areas
# list for WKNSSK
metier	REDSKAP_FAO	MASKEVIDDE	ICESarea	ICESareatype
OTB_CRU_32-69_0_0_all	OTB	35	27.4.b	Div
OTB_CRU_32-69_0_0_all	TBS	36	27.4.b	Div
OTB_CRU_32-69_0_0_all	TB	38	27.4.b	Div
OTB_CRU_32-69_0_0_all	TB	40	27.4.b	Div
OTB_CRU_32-69_0_0_all	TBS	42	27.4.b	Div
OTB_CRU_32-69_0_0_all	TB	50	27.4.b	Div
OTB_DEF_>=120_0_0_all	TBS	300	27.4.b	Div
OTB_DEF_>=120_0_0_all	TB	120	27.4.b	Div
OTB_DEF_>=120_0_0_all	OTB	120	27.4.b	Div
OTB_DEF_>=120_0_0_all	OTB	125	27.4.b	Div
OTB_DEF_>=120_0_0_all	OTB	130	27.4.b	Div
OTB_DEF_>=120_0_0_all	OTB	135	27.4.b	Div
GNS_DEF_all_0_0_all	GEN	76	27.4.b	Div
GNS_DEF_all_0_0_all	GEN	84	27.4.b	Div
GNS_DEF_all_0_0_all	GEN	85	27.4.b	Div
GNS_DEF_all_0_0_all	GEN	90	27.4.b	Div
GNS_DEF_all_0_0_all	GEN	150	27.4.b	Div
GNS_DEF_all_0_0_all	GEN	165	27.4.b	Div
GNS_DEF_all_0_0_all	GEN	169	27.4.b	Div
GNS_DEF_all_0_0_all	GEN	180	27.4.b	Div
LLS_FIF_0_0_0_all	LL	NON	27.4.b	Div
LLS_FIF_0_0_0_all	LLS	NON	27.4.b	Div
SDN_DEF_>=120_0_0_all	SSC	120	27.4.b	Div
MIS_MIS_0_0_0_HC	TM	44	27.4.b	Div
MIS_MIS_0_0_0_HC	TB	5	27.4.b	Div
MIS_MIS_0_0_0_HC	TB	8	27.4.b	Div
#
LLS_FIF_0_0_0_all	LL	NON	27.3.a	Div
LLS_FIF_0_0_0_all	LLS	NON	27.3.a	Div
OTB_CRU_16-31_0_0_all	OTB	16	27.3.a	Div
OTB_CRU_16-31_0_0_all	TBS	26	27.3.a	Div
OTB_CRU_16-31_0_0_all	OTB	28	27.3.a	Div
OTB_CRU_16-31_0_0_all	TBS	20	27.3.a	Div
OTB_CRU_16-31_0_0_all	TBS	30	27.3.a	Div
OTB_CRU_32-69_0_0_all	TBS	35	27.3.a	Div
OTB_CRU_32-69_0_0_all	OTB	35	27.3.a	Div
OTB_CRU_32-69_0_0_all	OTB	38	27.3.a	Div
OTB_CRU_32-69_0_0_all	TB	40	27.3.a	Div
